taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100;10;1;InsertionSort;1128;376;0;33430
100;10;1;InsertionSort;1338;446;0;29140
100;10;1;InsertionSort;1464;488;0;46590
100;10;1;InsertionSort;1113;371;0;31010
100;10;1;InsertionSort;1239;413;0;37690
100;10;1;InsertionSort;1023;341;0;50460
100;10;1;InsertionSort;1830;610;0;91510
100;10;1;InsertionSort;747;249;0;21950
100;10;1;InsertionSort;1378;458;0;41160
100;10;1;InsertionSort;1023;341;0;35870
100;10;1;InsertionSort;918;306;0;26680
100;10;1;InsertionSort;1182;394;0;34650
100;10;1;InsertionSort;1230;410;0;38590
100;10;1;InsertionSort;1197;399;0;27200
100;10;1;InsertionSort;1102;366;0;31180
100;10;1;InsertionSort;1746;582;0;66951
100;10;1;InsertionSort;1233;411;0;36180
100;10;1;InsertionSort;1440;480;0;43830
100;10;1;InsertionSort;972;324;0;22280
100;10;1;InsertionSort;1060;352;0;31410
100;10;1;InsertionSort;1116;372;0;32780
100;10;1;InsertionSort;882;294;0;20221
100;10;1;InsertionSort;1959;653;0;61480
100;10;1;InsertionSort;1170;390;0;43820
100;10;1;InsertionSort;1503;501;0;59210
100;10;1;InsertionSort;1855;617;0;41160
100;10;1;InsertionSort;1149;383;0;34530
100;10;1;InsertionSort;969;323;0;24100
100;10;1;InsertionSort;999;333;0;28800
100;10;1;InsertionSort;1281;427;0;39250
100;10;1;InsertionSort;1071;357;0;29500
100;10;1;InsertionSort;1483;493;0;43650
100;10;1;InsertionSort;1404;468;0;40880
100;10;1;InsertionSort;1224;408;0;49800
100;10;1;InsertionSort;1617;539;0;48280
100;10;1;InsertionSort;1240;412;0;30360
100;10;1;InsertionSort;960;320;0;30401
100;10;1;InsertionSort;1188;396;0;34290
100;10;1;InsertionSort;1185;395;0;33520
100;10;1;InsertionSort;993;331;0;24300
100;10;1;InsertionSort;846;282;0;24480
100;10;1;InsertionSort;1540;512;0;37911
100;10;1;InsertionSort;1752;584;0;50220
100;10;1;InsertionSort;1290;430;0;34651
100;10;1;InsertionSort;1272;424;0;35120
100;10;1;InsertionSort;1350;450;0;30490
100;10;1;InsertionSort;1371;457;0;56110
100;10;1;InsertionSort;1206;402;0;38750
100;10;1;InsertionSort;1257;419;0;36860
100;10;1;InsertionSort;1212;404;0;26451
100;10;1;InsertionSort;774;258;0;20510
100;10;1;InsertionSort;1069;355;0;31230
100;10;1;InsertionSort;1171;389;0;32490
100;10;1;InsertionSort;1149;383;0;44160
100;10;1;InsertionSort;1314;438;0;39440
100;10;1;InsertionSort;1182;394;0;32490
100;10;1;InsertionSort;1209;403;0;34510
100;10;1;InsertionSort;1590;530;0;37801
100;10;1;InsertionSort;1530;510;0;43170
100;10;1;InsertionSort;1314;438;0;29370
100;10;1;InsertionSort;1107;369;0;33000
100;10;1;InsertionSort;1425;475;0;43680
100;10;1;InsertionSort;1173;391;0;26960
100;10;1;InsertionSort;1269;423;0;39660
100;10;1;InsertionSort;1038;346;0;30650
100;10;1;InsertionSort;1489;495;0;42290
100;10;1;InsertionSort;1167;389;0;33450
100;10;1;InsertionSort;1500;500;0;44030
100;10;1;InsertionSort;1074;358;0;31580
100;10;1;InsertionSort;1053;351;0;29480
100;10;1;InsertionSort;981;327;0;27480
100;10;1;InsertionSort;1110;370;0;35830
100;10;1;InsertionSort;1221;407;0;27440
100;10;1;InsertionSort;1395;465;0;39140
100;10;1;InsertionSort;1281;427;0;35721
100;10;1;InsertionSort;801;267;0;23580
100;10;1;InsertionSort;1324;440;0;31350
100;10;1;InsertionSort;1518;506;0;33100
100;10;2;InsertionSort;352;116;0;23040
100;10;2;InsertionSort;384;126;0;13780
100;10;2;InsertionSort;336;112;0;9500
100;10;2;InsertionSort;375;123;0;16610
100;10;2;InsertionSort;367;121;0;16950
100;10;2;InsertionSort;355;117;0;10530
100;10;2;InsertionSort;368;122;0;17880
100;10;2;InsertionSort;375;123;0;17270
100;10;2;InsertionSort;365;121;0;13510
100;10;2;InsertionSort;369;121;0;12300
100;10;2;InsertionSort;352;116;0;11630
100;10;2;InsertionSort;390;128;0;13970
100;10;2;InsertionSort;362;120;0;12600
100;10;2;InsertionSort;370;122;0;10000
100;10;2;InsertionSort;353;117;0;10260
100;10;2;InsertionSort;335;111;0;8960
100;10;2;InsertionSort;384;126;0;14950
100;10;2;InsertionSort;359;119;0;11850
100;10;2;InsertionSort;371;123;0;12390
100;10;2;InsertionSort;353;117;0;9510
100;10;2;InsertionSort;364;120;0;12810
100;10;2;InsertionSort;337;111;0;11850
100;10;2;InsertionSort;367;121;0;9970
100;10;2;InsertionSort;371;123;0;12290
100;10;2;InsertionSort;352;116;0;15920
100;10;2;InsertionSort;341;113;0;9910
100;10;2;InsertionSort;374;122;0;9560
100;10;2;InsertionSort;393;129;0;9840
100;10;2;InsertionSort;375;123;0;13090
100;10;2;InsertionSort;353;117;0;9570
100;10;2;InsertionSort;369;121;0;9330
100;10;2;InsertionSort;343;113;0;10780
100;10;2;InsertionSort;343;113;0;12290
100;10;2;InsertionSort;361;119;0;13810
100;10;2;InsertionSort;349;115;0;11260
100;10;2;InsertionSort;356;118;0;12930
100;10;2;InsertionSort;332;110;0;11600
100;10;2;InsertionSort;368;122;0;12060
100;10;2;InsertionSort;348;114;0;11590
100;10;2;InsertionSort;349;115;0;11450
100;10;2;InsertionSort;341;113;0;9270
100;10;2;InsertionSort;350;116;0;15090
100;10;2;InsertionSort;376;124;0;11720
100;10;2;InsertionSort;351;117;0;9720
100;10;2;InsertionSort;362;120;0;9780
100;10;2;InsertionSort;375;123;0;10020
100;10;2;InsertionSort;348;116;0;15360
100;10;2;InsertionSort;382;126;0;17260
100;10;2;InsertionSort;393;129;0;11460
100;10;2;InsertionSort;341;113;0;9230
100;10;2;InsertionSort;335;111;0;13070
100;10;2;InsertionSort;359;119;0;11820
100;10;2;InsertionSort;370;122;0;11830
100;10;2;InsertionSort;368;122;0;12080
100;10;2;InsertionSort;362;120;0;10680
100;10;2;InsertionSort;349;115;0;9570
100;10;2;InsertionSort;339;113;0;9470
100;10;2;InsertionSort;349;115;0;11700
100;10;2;InsertionSort;344;114;0;11070
100;10;2;InsertionSort;335;111;0;12340
100;10;2;InsertionSort;344;114;0;11830
100;10;2;InsertionSort;352;116;0;10150
100;10;2;InsertionSort;371;123;0;9910
100;10;2;InsertionSort;367;121;0;10940
100;10;2;InsertionSort;373;123;0;9540
100;10;2;InsertionSort;375;123;0;12850
100;10;2;InsertionSort;351;115;0;11901
100;10;2;InsertionSort;383;125;0;11140
100;10;2;InsertionSort;366;120;0;9430
100;10;2;InsertionSort;373;123;0;11750
100;10;2;InsertionSort;350;116;0;9570
100;10;2;InsertionSort;361;119;0;9960
100;10;2;InsertionSort;375;123;0;12550
100;10;2;InsertionSort;379;125;0;10200
100;10;2;InsertionSort;383;127;0;16700
100;10;2;InsertionSort;335;111;0;12070
100;10;2;InsertionSort;383;127;0;14060
100;10;2;InsertionSort;359;119;0;11980
100;10;2;InsertionSort;340;112;0;11880
100;10;2;InsertionSort;382;126;0;12890
100;10;2;InsertionSort;387;127;0;12770
100;10;2;InsertionSort;376;124;0;9760
100;10;2;InsertionSort;351;117;0;12030
100;10;2;InsertionSort;386;128;0;12910
100;10;2;InsertionSort;347;115;0;11940
100;10;2;InsertionSort;355;117;0;11460
100;10;2;InsertionSort;375;123;0;11400
100;10;2;InsertionSort;354;118;0;9450
100;10;2;InsertionSort;388;126;0;13460
100;10;2;InsertionSort;340;112;0;9380
100;10;2;InsertionSort;355;117;0;9420
100;10;2;InsertionSort;361;119;0;11780
100;10;2;InsertionSort;363;119;0;11620
100;10;2;InsertionSort;359;119;0;13980
100;10;2;InsertionSort;374;122;0;10000
100;10;2;InsertionSort;386;128;0;16790
100;10;2;InsertionSort;373;123;0;11550
100;10;2;InsertionSort;333;111;0;10480
100;10;2;InsertionSort;368;122;0;9420
100;10;2;InsertionSort;353;117;0;11720
100;10;3;InsertionSort;345;115;0;28300
100;10;3;InsertionSort;372;124;0;13190
100;10;3;InsertionSort;360;120;0;13720
100;10;3;InsertionSort;351;117;0;10230
100;10;3;InsertionSort;345;115;0;9720
100;10;3;InsertionSort;369;123;0;13550
100;10;3;InsertionSort;372;124;0;12130
100;10;3;InsertionSort;393;131;0;10360
100;10;3;InsertionSort;351;117;0;17090
100;10;3;InsertionSort;381;127;0;19270
100;10;3;InsertionSort;390;130;0;12840
100;10;3;InsertionSort;363;121;0;11200
100;10;3;InsertionSort;357;119;0;12680
100;10;3;InsertionSort;357;119;0;12330
100;10;3;InsertionSort;390;130;0;15890
100;10;3;InsertionSort;372;124;0;14771
100;10;3;InsertionSort;372;124;0;16890
100;10;3;InsertionSort;375;125;0;15930
100;10;3;InsertionSort;351;117;0;17930
100;10;3;InsertionSort;354;118;0;11360
100;10;3;InsertionSort;345;115;0;21470
100;10;3;InsertionSort;342;114;0;10000
100;10;3;InsertionSort;348;116;0;15290
100;10;3;InsertionSort;372;124;0;11870
100;10;3;InsertionSort;330;110;0;14480
100;10;3;InsertionSort;399;133;0;11230
